status,stop_id,city,direction,name,cross,routes,owl_routes,street,position,x,y,latitude,longitude
In Service,1,CHICAGO,NEB,Jackson & Austin Terminal,AUSTIN,126,,JACKSON,TERM,346421.023888738,578517.0053927813,41.876322,-87.774105
In Service,2,CHICAGO,EB,5900 W Jackson,MAYFIELD (EXTENDED),126,,JACKSON,MB,346651.8291636041,578601.2626770721,41.877067,-87.771318
In Service,3,CHICAGO,EB,Jackson & Menard,MENARD,126,,JACKSON,NT,346782.06656523544,578589.8985857526,41.876957,-87.76975
In Service,4,CHICAGO,EB,5700 W Jackson,5700 WEST,126,,JACKSON,MB,346972.85415637697,578598.5958416582,41.877024,-87.767451
In Service,6,CHICAGO,EB,Jackson & Lotus,LOTUS,126,,JACKSON,FS,347471.69818233594,578545.1436066492,41.876513,-87.761446
In Service,7,CHICAGO,EB,5351 W Jackson,5351 WEST,126,,JACKSON,MB,347680.93522782763,578550.872705389,41.876552,-87.758925
In Service,8,CHICAGO,EB,Jackson & Lockwood,LOCKWOOD,126,,JACKSON,FS,347814.7369361287,578553.1023018057,41.876564,-87.757313
In Service,9,CHICAGO,EB,Jackson & Laramie,LARAMIE,126,,JACKSON,FS,348038.67221278965,578558.0519805542,41.876595,-87.754615
In Service,10,CHICAGO,EB,Jackson & Leamington,LEAMINGTON,126,,JACKSON,FS,348158.7630216314,578562.3060088184,41.876626,-87.753168
In Service,11,CHICAGO,EB,5047 W Jackson,5047 WEST,126,,JACKSON,MB,348315.2161636259,578566.1421170444,41.876651,-87.751283
In Service,12,CHICAGO,EB,Jackson & Lavergne,LAVERGNE,126,,JACKSON,FS,348494.455220201,578564.0276573597,41.876621,-87.749124
In Service,13,CHICAGO,EB,4849 W Jackson,4849 WEST,126,,JACKSON,MB,348669.3036255988,578572.7729562199,41.876689,-87.747017
In Service,14,CHICAGO,EB,Jackson & Cicero,CICERO,126,,JACKSON,FS,348850.70479687676,578582.2339231236,41.876763,-87.744831
In Service,15,CHICAGO,EB,Jackson & Kilpatrick,KILPATRICK,126,,JACKSON,FS,349040.0797485233,578590.9768784712,41.87683,-87.742549
